A,B
0.006673707,0
0.102661712,0
0.20603341,0
0.305713262,0
0.405393114,0
0.505072965,0
0.601060971,0
0.704432669,0
0.80411252,0
0.903792372,0
1.00716407,0
1.106843922,0
1.202831927,0
1.302511779,0
1.405883477,0
1.505563329,0
1.605243181,0
1.704923032,0
1.804602884,0
1.907974582,0
2.007654434,0
2.107334285,0
2.203322291,0
2.303002143,0
2.406373841,0
2.509745539,0
2.60942539,0
2.705413396,0
2.805093247,0
2.904773099,0
3.008144797,0
3.107824649,0
3.203812654,0
3.307184352,0
3.406864204,0
3.510235902,0
3.606223907,0
3.709595606,0
3.809275457,0
3.908955309,0
4.008635161,0
4.104623166,0
4.204303018,0
4.303982869,0
4.407354568,0
4.503342573,0
4.603022425,0
4.706394123,0
4.806073974,0
4.90206198,0
5.009125524,0
0.006673707,0
0.106353558,0
0.20603341,0
0.305713262,0
0.401701267,0
0.508764812,0
0.601060971,0
0.704432669,0
0.80411252,0
0.903792372,0
1.00716407,0
1.106843922,0
1.206523774,0
1.302511779,0
1.405883477,0
1.505563329,0
1.605243181,0
1.704923032,0
1.804602884,0
1.904282736,0
2.003962587,0
2.107334285,0
2.203322291,0
2.303002143,0
2.410065687,0
2.506053692,0
2.605733544,0
2.701721549,0
2.805093247,0
2.904773099,0
3.008144797,0
3.107824649,0
3.203812654,0
3.307184352,0
3.406864204,0
3.510235902,0
3.606223907,0
3.709595606,0
3.809275457,0
3.908955309,0
4.008635161,0
4.104623166,0
4.204303018,0
4.307674716,0
4.407354568,0
4.507034419,0
4.606714271,0
4.706394123,0
4.806073974,0
4.905753826,0
5.009125524,0
0.00298186,0
0.102661712,0
0.20603341,0
0.302021416,0
0.401701267,0
0.505072965,0
0.601060971,0
0.704432669,0
0.800420674,0
0.903792372,0
1.00716407,0
1.103152076,0
1.202831927,0
1.302511779,0
1.402191631,0
1.501871482,0
1.605243181,0
1.704923032,0
1.800911038,0
1.904282736,0
2.003962587,0
2.107334285,0
2.203322291,0
2.303002143,0
2.406373841,0
2.506053692,0
2.605733544,0
2.701721549,0
2.805093247,0
2.904773099,0
3.008144797,0
3.104132803,0
3.203812654,0
3.307184352,0
3.406864204,0
3.506544056,0
3.602532061,0
3.705903759,0
3.809275457,0
3.908955309,0
4.008635161,0
4.104623166,0
4.204303018,0
4.303982869,0
4.407354568,0
4.503342573,0
4.599330578,0
4.706394123,0
4.802382128,0
4.90206198,0
5.005433678,0
0.00298186,0
0.102661712,0
0.20603341,0
0.302021416,0
0.401701267,0
0.505072965,0
0.601060971,0
0.704432669,0
0.80411252,0
0.903792372,0
1.00716407,0
1.106843922,0
1.202831927,0
1.302511779,0
1.402191631,0
1.505563329,0
1.605243181,0
1.704923032,0
1.804602884,0
1.904282736,0
2.007654434,0
2.107334285,0
2.203322291,0
2.303002143,0
2.410065687,0
2.506053692,0
2.605733544,0
2.705413396,0
2.805093247,0
2.904773099,0
3.008144797,0
3.104132803,0
3.203812654,0
3.307184352,0
3.403172358,0
3.510235902,0
3.606223907,0
3.709595606,0
3.809275457,0
3.908955309,0
4.008635161,0
4.10093132,0
4.204303018,0
4.303982869,0
4.407354568,0
4.503342573,0
4.603022425,0
4.706394123,0
4.802382128,0
4.90206198,0
5.005433678,0
0.00298186,0
0.106353558,0
0.20603341,0
0.305713262,0
0.405393114,0
0.505072965,0
0.604752817,0
0.704432669,0
0.80411252,0
0.903792372,0
1.00716407,0
1.106843922,0
1.206523774,0
1.302511779,0
1.405883477,0
1.505563329,0
1.605243181,0
1.708614879,0
1.804602884,0
1.907974582,0
2.003962587,0
2.107334285,0
2.207014137,0
2.306693989,0
2.406373841,0
2.506053692,0
2.60942539,0
2.705413396,0
2.805093247,0
2.904773099,0
3.008144797,0
3.104132803,0
3.203812654,0
3.307184352,0
3.406864204,0
3.510235902,0
3.606223907,0
3.709595606,0
3.809275457,0
3.908955309,0
4.008635161,0
4.104623166,0
4.204303018,0
4.307674716,0
4.407354568,0
4.503342573,0
4.606714271,0
4.706394123,0
4.806073974,0
4.90206198,0
5.009125524,0
0.006673707,0
0.106353558,0
0.209725257,0
0.305713262,0
0.405393114,0
0.505072965,0
0.601060971,0
0.704432669,0
0.80411252,0
0.903792372,0
1.00716407,0
1.106843922,0
1.202831927,0
1.302511779,0
1.405883477,0
1.505563329,0
1.605243181,0
1.704923032,0
1.804602884,0
1.907974582,0
2.003962587,0
2.107334285,0
2.203322291,0
2.306693989,0
2.410065687,0
2.506053692,0
2.60942539,0
2.705413396,0
2.805093247,0
2.904773099,0
3.008144797,0
3.104132803,0
3.203812654,0
3.307184352,0
3.406864204,0
3.510235902,0
3.606223907,0
3.705903759,0
3.809275457,0
3.908955309,0
4.008635161,0
4.104623166,0
4.204303018,0
4.303982869,0
4.407354568,0
4.503342573,0
4.603022425,0
4.706394123,0
4.802382128,0
4.90206198,0
5.009125524,0
0.00298186,0
0.106353558,0
0.20603341,0
0.302021416,0
0.401701267,0
0.505072965,0
0.604752817,0
0.704432669,0
0.80411252,0
0.903792372,0
1.00716407,0
1.106843922,0
1.202831927,0
1.302511779,0
1.402191631,0
1.505563329,0
1.605243181,0
1.704923032,0
1.800911038,0
1.904282736,0
2.003962587,0
2.107334285,0
2.203322291,0
2.306693989,0
2.406373841,0
2.506053692,0
2.605733544,0
2.701721549,0
2.801401401,0
2.904773099,0
3.008144797,0
3.104132803,0
3.203812654,0
3.307184352,0
3.406864204,0
3.510235902,0
3.606223907,0
3.705903759,0
3.809275457,0
3.908955309,0
4.008635161,0
4.10093132,0
4.204303018,0
4.307674716,0
4.407354568,0
4.507034419,0
